size,p,runtime
100,1,0.161060
100,1,0.160765
100,1,0.160893
100,2,0.081979
100,2,0.080884
100,2,0.081255
100,4,0.040902
100,4,0.040662
100,4,0.040723
100,8,0.020812
100,8,0.020832
100,8,0.020878
100,16,0.011043
100,16,0.010887
100,16,0.010937
100,24,0.007865
100,24,0.007988
100,24,0.007789
100,32,0.014568
100,32,0.014703
100,32,0.011866
1000,1,16.131354
1000,1,16.152281
1000,1,16.135247
1000,2,8.217027
1000,2,8.204942
1000,2,8.223449
1000,4,4.107661
1000,4,4.109525
1000,4,4.110555
1000,8,2.083942
1000,8,2.098834
1000,8,2.073319
1000,16,1.055175
1000,16,1.056806
1000,16,1.063830
1000,24,0.710153
1000,24,0.719229
1000,24,0.709973
1000,32,0.555406
1000,32,0.555963
1000,32,0.556834
